,company_name,experience,location,skills,posted_at
127,Careem,2 - 3 yrs,Pakistan,"mysql  ,  big data  ,  python  ,  oracle  ,  hive  ,  algorithms  ,  data mining  ,  sql  ,  database  ,  hadoop  ,  problem solving  ,  machine learning  ,  written communication",Posted few days ago
128,AIR Worldwide,5 - 8 yrs,Hyderabad/Secunderabad,"html  ,  big data  ,  python  ,  nosql  ,  sql  ,  security  ,  hadoop  ,  mongodb  ,  hbase  ,  c  ,  natural language processing  ,  sas  ,  machine learning  ,  neo4j",Posted 5 days ago
129,ORMAE LLP,3 - 10 yrs,Bengaluru / Bangalore,"algorithms  ,  python  ,  machine learning  ,  sql  ,  d3.js  ,  data structures  ,  mongodb",Posted few days ago
130,PUBLICIS GROUPE,4 - 7 yrs,Bengaluru / Bangalore,"big data  ,  python  ,  messaging  ,  dash  ,  algorithms  ,  scala  ,  data mining  ,  bi  ,  sql  ,  team player  ,  machine learning",Posted few days ago
131,Sigmoid,5 - 8 yrs,Bengaluru / Bangalore,"algorithms  ,  python  ,  team player  ,  machine learning  ,  data extraction  ,  java  ,  linux  ,  big data",Posted few days ago
132,Getty Images,0 - 1 yrs,New York City,"leave  ,  workforce  ,  communication  ,  health benefits  ,  stress management  ,  learning  ,  communication skills  ,  compensation  ,  attendance",Posted 2 days ago
133,WALMART INDIA,6 - 9 yrs,,"algorithms  ,  information technology  ,  scala  ,  sql  ,  python  ,  machine learning",Posted 1 day ago
134,ArisGlobal LLC,8 - 11 yrs,Bengaluru / Bangalore,"drug safety  ,  regulatory  ,  gcp  ,  life sciences  ,  clinical trials",Posted 4 days ago
135,WALMART INDIA,6 - 9 yrs,,"information technology  ,  big data  ,  python  ,  scala  ,  hadoop  ,  machine learning",Posted few days ago
136,Innoplexus Consulting Services Private Limited,10 - 13 yrs,Pune,"algorithms  ,  artificial intelligence  ,  image processing  ,  python  ,  natural language processing  ,  machine learning",Posted 3 days ago
137,RED HAT,3 - 6 yrs,Bengaluru / Bangalore,"algorithms  ,  software engineering  ,  technical skills  ,  python  ,  natural language processing  ,  machine learning  ,  cassandra",Posted 2 days ago
138,Epsilon,8 - 10 yrs,Bengaluru / Bangalore,"algorithms  ,  sql  ,  distributed databases  ,  hadoop  ,  python  ,  problem solving  ,  machine learning  ,  messaging",Posted 5 days ago
139,netomi  ( msgai labs ),2 - 5 yrs,Gurgaon,"algorithms  ,  artificial intelligence  ,  hadoop  ,  big data  ,  python  ,  information retrieval  ,  machine learning",Posted few days ago
140,netomi  ( msgai labs ),3 - 6 yrs,Canada,"algorithms  ,  artificial intelligence  ,  hadoop  ,  python  ,  information retrieval  ,  machine learning",Posted 4 days ago
141,WALMART INDIA,3 - 6 yrs,,"algorithms  ,  information technology  ,  sql  ,  python  ,  cloud services  ,  machine learning  ,  infrastructure",Posted 1 day ago
142,sigmoid analutics,1 - 3 yrs,Bengaluru / Bangalore,"algorithms  ,  python  ,  informationtechnology  ,  team player  ,  machine learning  ,  data extraction  ,  java  ,  linux  ,  big data",Posted few days ago
143,Clarivate Analytics,5 - 8 yrs,,"algorithms  ,  security  ,  data extraction  ,  java  ,  python  ,  natural language processing  ,  machine learning",Posted few days ago
144,recooty,2 - 3 yrs,Thailand,"algorithms  ,  data mining  ,  sql  ,  python  ,  github  ,  machine learning  ,  infrastructure",Posted few days ago
145,gartner india research and advisory services,2 - 4 yrs,Gurgaon,"python  ,  machine learning  ,   NLP techniques",Posted 2 days ago
146,m / s simplex infrastructures ltd,4 - 6 yrs,Bengaluru / Bangalore,"algorithms  ,  ds  ,  sql  ,  big data  ,  python  ,  machine learning",Posted few days ago
147,IRT Computer Solutions  ( I )  Pvt Ltd,5 - 8 yrs,"Hyderabad/Secunderabad,  Chennai","hive  ,  python  ,  c    ,  machine learning  ,  sql  ,  database  ,  java  ,  mapreduce  ,  mysql  ,  hadoop",Posted few days ago
148,crescendo global,8 - 12 yrs,"Gurgaon,  Mumbai,  Pune","algorithms  ,  problem solving  ,  mining  ,  machine learning",Posted 3 days ago
149,Innoplexus Consulting Services Private Limited,2 - 5 yrs,Pune,"algorithms  ,  artificial intelligence  ,  hci  ,  image processing  ,  python  ,  machine learning",Posted 3 days ago
150,PatientMD,3 - 6 yrs,Kolkata,"algorithms  ,  python  ,  scala  ,  data mining  ,  machine learning  ,  java  ,  software engineer  ,  big data",Posted few days ago
151,winzone technology pvt ltd,0 - 3 yrs,Delhi,"image processing  ,  python  ,  c  ,  sql  ,  written communication  ,  games  ,  big data",Posted few days ago
152,TERADATA INDIA PVT LTD,5 - 8 yrs,,"algorithms  ,  bi  ,  sql  ,  d3.js  ,  database management  ,  cloud computing  ,  san  ,  python  ,  machine learning",Posted few days ago
153,Clarivate Analytics,5 - 8 yrs,Canada,"algorithms  ,  security  ,  data extraction  ,  java  ,  python  ,  natural language processing  ,  director  ,  information retrieval  ,  machine learning",Posted few days ago
154,WALMART INDIA,4 - 7 yrs,,"algorithms  ,  information technology  ,  scala  ,  sql  ,  python  ,  machine learning",Posted few days ago
155,Ideapoke,3 - 4 yrs,Bengaluru / Bangalore,"algorithms  ,  artificial intelligence  ,  sql  ,  data extraction  ,  big data  ,  python  ,  natural language processing  ,  team player  ,  machine learning  ,  nosql",Posted few days ago
156,Fanatics Inc.,6 - 9 yrs,Los Angeles,"python  ,  nosql  ,  algorithms  ,  data mining  ,  sql  ,  database  ,  security  ,  cloud computing  ,  machine learning  ,  written communication",Posted few days ago
157,brandmuscle india pvt ltd,2 - 5 yrs,Bengaluru / Bangalore,"hive  ,  algorithms  ,  data mining  ,  sql  ,  pig  ,  mongodb  ,  hbase  ,  simulation models  ,  python  ,  machine learning  ,  nosql  ,  cassandra",Posted few days ago
158,dun and bradstreet india pvt ltd,3 - 6 yrs,,"python  ,  algorithms  ,  scala  ,  sql  ,  machine learning",Posted 6 days ago
159,WALMART INDIA,3 - 6 yrs,,"algorithms  ,  information technology  ,  artificial intelligence  ,  python  ,  machine learning",Posted 6 days ago
160,Veeva Systems,8 - 11 yrs,Germany,"algorithms  ,  conference  ,  java  ,  devops  ,  mongodb  ,  san  ,  python  ,  team player  ,  machine learning  ,  nosql  ,  infrastructure  ,  leadership skills  ,  forms",Posted few days ago
161,Veeva Systems,8 - 11 yrs,Netherlands,"algorithms  ,  conference  ,  java  ,  devops  ,  mongodb  ,  san  ,  python  ,  team player  ,  machine learning  ,  nosql  ,  infrastructure  ,  leadership skills  ,  forms",Posted few days ago
162,Quantium Analytics,4 - 7 yrs,Hyderabad/Secunderabad,"artificial intelligence  ,  sql  ,  git  ,  api  ,  python  ,  cloud storage",Posted few days ago
163,Tridiagonal Solutions Pvt. Ltd.,0 - 3 yrs,Pune,"manufacturing  ,  chemical engineering  ,  chemical engineer  ,  innovation  ,  team work  ,  process data  ,  process engineering",Posted few days ago
164,Armaco Chemical Processes Systems Pvt Ltd,5 - 7 yrs,Singapore,"algorithms  ,  c    ,  linear programming  ,  artificial intelligence  ,  database  ,  java  ,  python  ,  infrastructure",Posted few days ago
165,quicken software development pvt ltd,6 - 9 yrs,,"leave  ,  compensation  ,  personal management  ,  health benefits",Posted few days ago
166,WALMART INDIA,7 - 10 yrs,,"information technology  ,  python  ,  algorithms  ,  conference  ,  scala  ,  sql  ,  machine learning",Posted few days ago
167,netradyne,2 - 3 yrs,Bengaluru / Bangalore,"program management  ,  artificial intelligence  ,  sql  ,  security  ,  mongodb  ,  python  ,  c  ,  machine learning",Posted few days ago
168,dun and bradstreet india pvt ltd,3 - 6 yrs,Chennai,"algorithms  ,  scala  ,  sql  ,  python  ,  machine learning",Posted few days ago
169,AUGRAY PRIVATE LIMITED,1 - 4 yrs,,"algorithms  ,  augmented reality  ,  sql  ,  git  ,  python  ,  machine learning",Posted few days ago
170,Netxcell Ltd,4 - 7 yrs,Vijayawada,"websphere  ,  oracle  ,  computer application  ,  ms access  ,  vb  ,  sql  ,  java  ,  linux  ,  j2ee  ,  .net  ,  php  ,  mysql",Posted few days ago
171,Exxon Mobil Corporation,10 - 13 yrs,Bengaluru / Bangalore,"devops  ,  software engineering  ,  python  ,  ensemble  ,  security  ,  database  ,  software engineer  ,  machine learning",Posted few days ago
172,torcai digital media private limited,2 - 5 yrs,Dehradun,"algorithms  ,  awk  ,  linux  ,  shell scripting",Posted few days ago
173,dun and bradstreet india pvt ltd,3 - 6 yrs,,"python  ,  algorithms  ,  scala  ,  sql  ,  machine learning",Posted few days ago
174,Exxon Mobil Corporation,3 - 6 yrs,Bengaluru / Bangalore,"c    ,  object oriented programming  ,  python  ,  software testing  ,  fundamentals  ,  security  ,  pattern recognition  ,  c  ,  machine learning",Posted few days ago
175,NLP People,5 - 8 yrs,Chennai,"fundamentals  ,  algorithms  ,  information technology  ,  sql  ,  apache  ,  bigdata  ,  python  ,  machine learning  ,  written communication",Posted few days ago
176,ConcertAI,2 - 5 yrs,Bengaluru / Bangalore,"algorithms  ,  business rules  ,  sql  ,  github",Posted few days ago
177,Exxonmobil Company India Pvt Ltd,3 - 6 yrs,Thailand,"information technology  ,  artificial intelligence  ,  salesforce  ,  python  ,  bi  ,  database  ,  security  ,  pattern recognition  ,  problem solving  ,  machine learning",Posted few days ago
178,PUBLICIS GROUPE,8 - 10 yrs,,"algorithms  ,  sql  ,  distributed databases  ,  hadoop  ,  python  ,  problem solving  ,  machine learning  ,  messaging",Posted few days ago
179,algoanalytics pune,3 - 6 yrs,Pune,"algorithms  ,  python  ,  natural language processing  ,  machine learning  ,  written communication",Posted few days ago
180,Veeva Systems,4 - 7 yrs,Germany,"artificial intelligence  ,  devops  ,  python  ,  nosql  ,  algorithms  ,  docker  ,  mongodb  ,  san  ,  natural language processing  ,  team player  ,  machine learning  ,  infrastructure  ,  leadership skills  ,  forms",Posted few days ago
181,Veeva Systems,4 - 7 yrs,Netherlands,"artificial intelligence  ,  devops  ,  python  ,  nosql  ,  algorithms  ,  docker  ,  mongodb  ,  san  ,  natural language processing  ,  team player  ,  machine learning  ,  infrastructure  ,  leadership skills  ,  forms",Posted few days ago
182,ORMAE LLP,2 - 10 yrs,Bengaluru / Bangalore,"algorithms  ,  python  ,  machine learning  ,  sql  ,  d3.js  ,  mongodb",Posted few days ago
183,"Augustin Xavier
     (More Jobs)",1 - 5 yrs,"Surendranagar,  Ranchi,  Calicut/ Kozhikode,  Cochin/ Kochi/ Ernakulam,  Kannur",Engineering Construction,Posted a month ago
184,arimon digilytics pvt ltd,1 - 3 yrs,Gurgaon,"data science  ,  analyst  ,  data scientist",Posted few days ago
185,Clarivate Analytics,3 - 6 yrs,,"dashboards  ,  sql  ,  security  ,  data science  ,  use cases  ,  data scientist  ,  data analysis  ,  sas  ,  business analytics  ,  ehr",Posted 3 days ago
186,"SAMPOORNA CONSULTANTS PVT LTD
     (More Jobs)",10 - 15 yrs,Mumbai,"Data Scientist  ,  Python  ,  SQL  ,  ML",Posted a month ago
187,WALMART INDIA,6 - 9 yrs,,"interpersonal skills  ,  Data Scientist  ,  communication  ,  mapping  ,  compensation",Posted 5 days ago
188,WALMART INDIA,6 - 9 yrs,,"interpersonal skills  ,  Data Scientist  ,  communication  ,  mapping  ,  compensation",Posted few days ago
189,US Pharmacopeia,5 - 8 yrs,Hyderabad/Secunderabad,"visualization  ,  information technology  ,  bi  ,  sql  ,  data extraction  ,  data science  ,  xml  ,  data scientist  ,  information systems management  ,  it project management  ,  data visualization  ,  advanced analytics  ,  data analysis  ,  data analytics  ,  alteryx  ,  tableau  ,  predictive modeling  ,  project delivery",Posted 6 days ago
190,WALMART INDIA,6 - 9 yrs,,"interpersonal skills  ,  Data Science  ,  communication  ,  mapping  ,  compensation",Posted 5 days ago
191,WALMART INDIA,6 - 9 yrs,,"interpersonal skills  ,  Data Science  ,  communication  ,  mapping  ,  compensation",Posted 5 days ago
192,WALMART INDIA,6 - 9 yrs,,"interpersonal skills  ,  Data Science  ,  communication  ,  mapping  ,  compensation",Posted 5 days ago
193,WALMART INDIA,6 - 9 yrs,,"interpersonal skills  ,  Data Science  ,  communication  ,  mapping  ,  compensation",Posted 5 days ago
194,Qatargas Operating Co Ltd,8 - 11 yrs,Doha,"hive  ,  algorithms  ,  information technology  ,  data mining  ,  artificial intelligence  ,  sql  ,  pig  ,  mongodb  ,  hbase  ,  machine learning  ,  nosql  ,  cassandra",Posted few days ago
195,WALMART INDIA,3 - 5 yrs,,"workforce planning  ,  Data Science  ,  communication  ,  compensation",Posted few days ago
196,Innoplexus Consulting Services Private Limited,3 - 5 yrs,Pune,"molecular biology  ,  computational biology  ,  research  ,  genomics  ,  life sciences  ,  clinical trials  ,  cro  ,  proteomics  ,  bioinformatics  ,  pharmacy  ,  pharma",Posted 3 days ago
197,WALMART INDIA,8 - 11 yrs,,"information technology  ,  data structures  ,  python  ,  algorithms  ,  conference  ,  scala  ,  git  ,  machine learning",Posted few days ago
198,Getty Images,5 - 8 yrs,Canada,"python  ,  hive  ,  algorithms  ,  sql  ,  machine learning  ,  forms",Posted few days ago
199,WALMART INDIA,6 - 9 yrs,,"interpersonal skills  ,  leave  ,  communication  ,  mapping  ,  compensation",Posted few days ago
200,grazitti interactive,6 - 9 yrs,Mohali,"artificial intelligence  ,  sql  ,  python  ,  machine learning",Posted few days ago
201,WALMART INDIA,6 - 9 yrs,,"interpersonal skills  ,  leave  ,  communication  ,  mapping  ,  compensation",Posted few days ago
202,WALMART INDIA,6 - 9 yrs,,"interpersonal skills  ,  leave  ,  communication  ,  mapping  ,  compensation",Posted few days ago
203,WALMART INDIA,4 - 7 yrs,,"algorithms  ,  information technology  ,  scala  ,  artificial intelligence  ,  sql  ,  simulation models  ,  python  ,  director  ,  machine learning",Posted few days ago
204,"HR Jobs Placements
     (More Jobs)",5 - 10 yrs,"Hyderabad/Secunderabad,  Kolkata,  Mumbai,  Noida/Greater Noida,  Pune","data scientist  ,  data science  ,  senior data scientist  ,  java  ,  r  ,  nlp  ,  Data Modeling  ,  ExtJS  ,  Spark  ,  Python",Posted few days ago
205,"HR Jobs Placements
     (More Jobs)",5 - 10 yrs,"Ahmedabad,  Bengaluru / Bangalore,  Chennai,  Delhi,  Gurgaon","data scientist  ,  data science  ,  senior data scientist  ,  java  ,  r  ,  nlp  ,  Data Modeling  ,  ExtJS  ,  Spark  ,  Python",Posted a month ago
206,Armaco Chemical Processes Systems Pvt Ltd,8 - 11 yrs,Jeddah,"bi  ,  artificial intelligence  ,  sql  ,  security  ,  java  ,  apache  ,  software engineering  ,  shell scripting  ,  hadoop  ,  python  ,  machine learning  ,  javascript  ,  infrastructure",Posted few days ago
207,Acuity Knowledge Partners,0 - 3 yrs,Bengaluru / Bangalore,"algorithms  ,  data mining  ,  data extraction  ,  mongodb  ,  python  ,  problem solving  ,  nosql  ,  cassandra  ,  infrastructure",Posted few days ago
208,Paytm,3 - 6 yrs,Noida/Greater Noida,"emr  ,  storage  ,  sql  ,  brewing  ,  data science  ,  use cases  ,  data scientist  ,  data analysis  ,  statistical analysis",Posted 5 days ago
209,Clarivate Analytics,5 - 8 yrs,,"dashboards  ,  sql  ,  security  ,  data science  ,  use cases  ,  data scientist  ,  advanced analytics  ,  data analysis  ,  sas  ,  business analytics  ,  ehr",Posted 3 days ago
210,Times World Information Technology,8 - 10 yrs,Dubai,"visualization  ,  bi  ,  regression analysis  ,  sql  ,  database  ,  data scientist  ,  data visualization  ,  data analytics  ,  data analysis  ,  sas  ,  tableau",Posted few days ago
211,crescendo global,3 - 6 yrs,Gurgaon,"algorithms  ,  data mining  ,  ensemble  ,  sql  ,  data structures  ,  python  ,  c",Posted few days ago
212,crescendo global,5 - 8 yrs,Gurgaon,"image processing  ,  python  ,  c  ,  data mining  ,  machine learning  ,  sql  ,  ds",Posted 3 days ago
213,WALMART INDIA,7 - 10 yrs,,"information technology  ,  data structures  ,  python  ,  algorithms  ,  conference  ,  scala  ,  git  ,  machine learning",Posted 6 days ago
214,WALMART INDIA,6 - 9 yrs,,"algorithms  ,  information technology  ,  scala  ,  artificial intelligence  ,  big data  ,  python  ,  machine learning",Posted 6 days ago
215,ConcertAI,2 - 5 yrs,,"artificial intelligence  ,  ds  ,  big data  ,  technical skills  ,  python  ,  director  ,  machine learning",Posted few days ago
216,WALMART INDIA,6 - 9 yrs,,"information technology  ,  artificial intelligence  ,  python  ,  director  ,  algorithms  ,  scala  ,  data mining  ,  sql  ,  simulation models  ,  machine learning",Posted few days ago
217,WALMART INDIA,6 - 9 yrs,,"information technology  ,  artificial intelligence  ,  python  ,  director  ,  algorithms  ,  scala  ,  data mining  ,  sql  ,  simulation models  ,  machine learning",Posted few days ago
218,"FLARIAL SERVICES LLP
     (More Jobs)",5 - 10 yrs,"Canada,  null","IT Skills  ,  Java  ,  Python  ,  Software development",Posted a month ago
219,Microsoft India Pvt Ltd,5 - 8 yrs,Hyderabad/Secunderabad,"program management  ,  software engineering  ,  big data  ,  python  ,  fundamentals  ,  hive  ,  bi  ,  sql  ,  machine learning  ,  infrastructure",Posted a month ago
220,Microsoft India Pvt Ltd,5 - 8 yrs,Hyderabad/Secunderabad,"program management  ,  software engineering  ,  big data  ,  python  ,  fundamentals  ,  hive  ,  bi  ,  sql  ,  machine learning  ,  infrastructure",Posted a month ago
221,SAP Ariba,5 - 8 yrs,"Gurgaon,  Mumbai,  Pune,  Bengaluru / Bangalore","orchestration  ,  artificial intelligence  ,  c     ,  java  ,  sap bw  ,  software packages  ,  python  ,  adapters  ,  abap  ,  data warehousing  ,  docker  ,  system administration  ,  database  ,  sas  ,  team player  ,  machine learning  ,  consultant",Posted few days ago
222,Paytm,4 - 6 yrs,Noida/Greater Noida,"algorithms  ,  scala  ,  brewing  ,  java  ,  data structures  ,  python  ,  machine learning",Posted few days ago
223,Armaco Chemical Processes Systems Pvt Ltd,5 - 8 yrs,Jeddah,"algorithms  ,  artificial intelligence  ,  python  ,  information retrieval  ,  machine learning  ,  infrastructure",Posted few days ago
224,suntec india,5 - 8 yrs,Delhi,"algorithms  ,  artificial intelligence  ,  data structures  ,  python  ,  machine learning  ,  eclipse",Posted few days ago
225,Fiserv India Pvt Ltd,10 - 13 yrs,Thane,"reporting  ,  excel  ,  expenses  ,   knowledge of statistical",Posted few days ago
226,fiserv ce pvt ltd,10 - 13 yrs,Thane,"reporting  ,  excel  ,  expenses  ,   build models",Posted few days ago
227,AugmatrixGo,5 - 8 yrs,"Hyderabad/Secunderabad,  Pune","dashboards  ,  sql  ,  tableau  ,  data scientist  ,  data visualization",Posted few days ago
228,COGNITER TECHNOLOGIES,3 - 6 yrs,Bengaluru / Bangalore,"data mining  ,  ensemble  ,  data science  ,  data scientist  ,  data visualization",Posted 6 days ago
229,Stockholdings,5 - 8 yrs,"Navi Mumbai,  Mumbai","dashboards  ,  data science  ,  data scientist  ,  crm  ,  data analytics  ,  mobile",Posted few days ago
230,BOSTON SCIENTIFIC,0 - 5 yrs,,"visualization  ,  dashboards  ,  data analytics  ,  alteryx  ,  vba  ,  sql  ,  database  ,  data scientist  ,  data analysis  ,  consulting  ,  business analytics  ,  data analyst  ,  tableau  ,  infrastructure  ,  analyst",Posted 6 days ago
231,valens datalabs,1 - 3 yrs,Ahmedabad,"python  ,  scala  ,  nosql  ,  java  ,  cassandra  ,  object oriented programming  ,  hadoop  ,  big data  ,  mongodb  ,  hbase",Posted few days ago
232,eurofins it solutions pvt ltd,1 - 2 yrs,Bengaluru / Bangalore,"cro  ,  clinical diagnostics  ,  scientist  ,  clinical  ,  pharmacology  ,  bioinformatics  ,  genomics  ,  life sciences",Posted few days ago
233,eurofins it solutions pvt ltd,1 - 2 yrs,Bengaluru / Bangalore,"cro  ,  clinical diagnostics  ,  rna  ,  scientist  ,  clinical  ,  pharmacology  ,  bioinformatics  ,  genomics  ,  primer designing  ,  life sciences  ,  ngs",Posted few days ago
234,BOSTON SCIENTIFIC,1 - 2 yrs,,"production  ,  supervision  ,  process development  ,  documentation  ,  process improvement",Posted 1 day ago
235,criyagen agri and biotech pvt ltd,0 - 3 yrs,Bengaluru / Bangalore,"Technical Guidance  ,  Crop Advisers  ,  Converting of customers",Posted few days ago
236,BOSTON SCIENTIFIC,1 - 2 yrs,,"production  ,  supervision  ,  process development  ,  documentation  ,  process improvement",Posted few days ago
237,zf india pvt ltd,0 - 3 yrs,Chennai,"visualization  ,  information technology  ,  data mining  ,  bi  ,  dashboards  ,  sql  ,  data science  ,  data scientist  ,  predictive analysis  ,  tableau",Posted 6 days ago
238,statxo analytics,4 - 6 yrs,"Gurgaon,  Bengaluru / Bangalore","arima  ,  advanced analytics  ,  visualization  ,  business requirements  ,  spotfire  ,  sql  ,  tableau  ,  advanced excel  ,  ms office suite  ,  data scientist",Posted few days ago
239,Iqvia,3 - 5 yrs,Bengaluru / Bangalore,"regulatory requirements  ,  ich  ,  validation  ,  clinical lab  ,  laboratory equipment  ,  glp  ,  clinical  ,  clinical research  ,  data management  ,  scientist  ,  regulatory  ,  sas programming",Posted 4 days ago
240,Allstate India,7 - 10 yrs,Pune,"computer programming  ,  sql  ,  data science  ,  data scientist  ,  text mining  ,  data visualization  ,  data analysis  ,  oracle  ,  predictive analytics  ,  tableau  ,  predictive modeling  ,  business objects  ,  project delivery  ,  unix",Posted few days ago
241,AMAZON INDIA PVT LTD,3 - 6 yrs,Bengaluru / Bangalore,"business analyst  ,  dashboards  ,  sql  ,  data scientist  ,  data visualization  ,  statistical analyst  ,  business analysis  ,  data analyst  ,  tableau  ,  statistical analysis",Posted few days ago
242,lastminute.com group,3 - 6 yrs,Switzerland,"algorithms  ,  sql  ,  git  ,  big data  ,  python  ,  github  ,  machine learning",Posted few days ago
243,"Sarosh Karki
     (More Jobs)",20 - 25 yrs,"Ahmedabad,  Chennai,  Gurgaon,  Hyderabad/Secunderabad,  Kolkata","Clinical Research Marketing  ,  Clinical Statistics  ,  Oracle Clinical  ,  Clinical Data Management  ,  Clinical Research  ,  Clinical Trial  ,  Pharmacovigilance",Posted few days ago
244,US Pharmacopeia,7 - 10 yrs,Hyderabad/Secunderabad,"molecular biology  ,  scientist  ,  research  ,  rt-pcr  ,  dna  ,  gel electrophoresis  ,  pcr  ,  validation  ,  chemistry  ,  biologics  ,  rna  ,  technology transfer  ,  glp  ,  elisa  ,  assay  ,  biochemistry  ,  method development",Posted few days ago
245,US Pharmacopeia,10 - 13 yrs,Hyderabad/Secunderabad,"pharmaceutical industry  ,  scientist  ,  regulatory  ,  laboratory work  ,  analytical chemistry  ,  hplc  ,  ich  ,  validation  ,  chemistry  ,  bioanalytical  ,  material characterization  ,  biological sciences  ,  elisa  ,  biochemistry  ,  method development",Posted few days ago
246,Armaco Chemical Processes Systems Pvt Ltd,0 - 3 yrs,Jeddah,"hydrogen  ,  safety  ,  instrumentation  ,  technology development  ,  process development  ,  mechanical engineering  ,  process design  ,  problem solving  ,  process flow  ,  planning  ,  plastic",Posted 3 days ago
247,Armaco Chemical Processes Systems Pvt Ltd,0 - 3 yrs,Singapore,"talent development  ,  workforce  ,  field work  ,  communication skills",Posted few days ago
248,Armaco Chemical Processes Systems Pvt Ltd,0 - 3 yrs,Singapore,"swimming  ,  english  ,  history",Posted few days ago
249,ConcertAI,5 - 8 yrs,,"bi  ,  database  ,  business environment  ,  written communication",Posted few days ago
250,Colgate-Palmolive  ( India ),5 - 8 yrs,Mumbai,"ajax  ,  spring  ,  soap",Posted few days ago
251,US Pharmacopeia,5 - 7 yrs,Hyderabad/Secunderabad,"learning  ,  hr  ,  recruitment  ,  communication skills  ,  ir",Posted few days ago
252,US Pharmacopeia,5 - 7 yrs,Hyderabad/Secunderabad,"hr  ,  recruitment  ,  ir  ,  learning  ,  communication skills",Posted few days ago
253,Armaco Chemical Processes Systems Pvt Ltd,0 - 3 yrs,Jeddah,"production  ,  co2  ,  hydrogen  ,  instruments  ,  technology development  ,  chemical engineering  ,  natural gas  ,  planning",Posted few days ago
254,"Sarosh Karki
     (More Jobs)",15 - 20 yrs,"Bengaluru / Bangalore,  Chennai,  Gurgaon,  Hyderabad/Secunderabad,  Kolkata","Clinical Laboratory Scientist  ,  Chemistry  ,  Organic Chemistry  ,  Chromatography  ,  Electrophoresis  ,  Biotechnology  ,  Molecular Biology  ,  Microbiology  ,  Biochemistry  ,  Immunology",Posted few days ago
255,GoVivace Inc.,2 - 3 yrs,Noida/Greater Noida,"algorithms  ,  cuda  ,  c    ,  artificial intelligence  ,  testing tools  ,  shell scripting  ,  perl  ,  technical skills  ,  python  ,  github  ,  natural language processing  ,  ivr  ,  machine learning",Posted a month ago
256,"Vasantdada Sugar Institute
     (More Jobs)",1 - 4 yrs,Pune,"Alcohol  ,  Biogas  ,  Research  ,  Hydrogen  ,  Ethanol",Posted few days ago
257,Armaco Chemical Processes Systems Pvt Ltd,0 - 3 yrs,Jeddah,"Life Cycle Analysis  ,  data analysis  ,  Matlab  ,   Python",Posted 6 days ago
258,US Pharmacopeia,5 - 8 yrs,Hyderabad/Secunderabad,"production  ,  manufacturing  ,  process development  ,  planning",Posted 4 days ago
259,US Pharmacopeia,10 - 13 yrs,Hyderabad/Secunderabad,"analytical chemistry  ,  hplc  ,  pcr  ,  chemistry  ,  biologics  ,  material characterization  ,  biological sciences  ,  elisa  ,  biochemistry  ,  method development",Posted few days ago
260,NLP People,0 - 3 yrs,Delhi,"algorithms  ,  artificial intelligence  ,  hci  ,  html  ,  data structures  ,  perl  ,  image processing  ,  python  ,  natural language processing  ,  artificialintelligence  ,  machine learning  ,  artificial neural networks  ,  human computer interaction  ,  artificialneural networks",Posted few days ago
261,Jeevan Scientific Technology Limited,5 - 10 yrs,Hyderabad/Secunderabad,"chemistry  ,  method validation  ,  scientist  ,  regulatory  ,  laboratory equipment  ,  glp  ,  bioanalytical  ,  research  ,  senior research associate  ,  biochemistry  ,  method development  ,  validation",Posted few days ago
262,indiabioscience,0 - 3 yrs,Sonepat,"computational biology  ,  chemistry  ,  molecular biology  ,  biology  ,  researcher  ,  scientist  ,  research  ,  genetics  ,  microscopy  ,  cloning",Posted few days ago
263,Armaco Chemical Processes Systems Pvt Ltd,10 - 13 yrs,Jeddah,"reports  ,  procedures  ,  mentoring  ,  consultant  ,  infrastructure",Posted few days ago
264,Armaco Chemical Processes Systems Pvt Ltd,5 - 10 yrs,Jeddah,"prototyping  ,  production  ,  arc  ,  water treatment  ,  product development  ,  technology development  ,  chemical engineering  ,  planning  ,  senior engineer  ,  productivity enhancement  ,  production technology",Posted few days ago
265,Armaco Chemical Processes Systems Pvt Ltd,10 - 13 yrs,Jeddah,"iso  ,  preventive maintenance  ,  instruments  ,  calibration  ,  grease  ,  ppe  ,  implementation  ,  ideas  ,  maintenance",Posted few days ago
266,BOSTON SCIENTIFIC,2 - 5 yrs,,"healthcare  ,  mri  ,  health  ,  medicine  ,  medical technologist  ,  ct  ,  medical imaging",Posted few days ago
267,imperial life sciences pvt. limited,0 - 3 yrs,Mumbai,"scientist  ,  elisa  ,  cell biology",Posted few days ago
268,BOSTON SCIENTIFIC,6 - 9 yrs,,"scientist  ,  regulatory  ,  laboratory work  ,  analytical chemistry  ,  research  ,  research scientist  ,  chemistry  ,  polymer science  ,  material characterization",Posted few days ago
269,niramai health analytix pvt ltd,7 - 15 yrs,Bengaluru / Bangalore,"scientist  ,  regulatory  ,  research  ,  incubator  ,  pharmacology  ,  clinical trials  ,  clinical operations  ,  biostatistics  ,  biology  ,  clinical  ,  clinical research  ,  pharmacy  ,  pharma",Posted few days ago
270,imperial life sciences pvt. limited,4 - 5 yrs,Mumbai,"molecular biology  ,  scientist  ,  genetics  ,  genomics  ,  ngs",Posted few days ago
