,company_name,experience,location,skills,posted_at
35,Efftronics Systems Pvt Ltd,5 - 8 yrs,Vijayawada,"c    ,  data analysis  ,  business requirements  ,  data mining  ,  java  ,  predictive modeling  ,  data scientist  ,  statistical analysis  ,  design thinking  ,  predictive analysis",Posted few days ago
36,BizViz Technologies,3 - 6 yrs,"Hyderabad/Secunderabad,  Bengaluru / Bangalore","data mining  ,  sql  ,  data scientist  ,  predictive analysis  ,  advanced analytics  ,  data analysis  ,  sas  ,  author  ,  predictive analytics  ,  algorithm development  ,  statistical analysis",Posted few days ago
37,axmiyan hr solutions private limited,3 - 6 yrs,Gurgaon,"time series analysis  ,  linear regression  ,  data science  ,  data scientist  ,  logistic regression  ,  image processing  ,  advanced analytics  ,  factor analysis",Posted few days ago
38,g7 cr technologies,1 - 4 yrs,Bengaluru / Bangalore,"algorithms  ,  data mining  ,  bi  ,  sql  ,  python  ,  machine learning",Posted 2 days ago
39,Informatica,3 - 5 yrs,Bengaluru / Bangalore,"data mining  ,  sql  ,  hadoop  ,  big data  ,  mongodb  ,  python  ,  natural language processing  ,  sas  ,  mining  ,  machine learning  ,  cassandra",Posted 5 days ago
40,Orange Business Services,0 - 3 yrs,Gurgaon,"hive  ,  algorithms  ,  data mining  ,  sql  ,  d3.js  ,  api  ,  big data  ,  python  ,  machine learning  ,  nosql",Posted 1 day ago
41,CONNECTING 2 WORK,0 - 3 yrs,Thiruvananthapuram,"hive  ,  data mining  ,  bi  ,  sql  ,  database  ,  java  ,  hadoop  ,  big data  ,  python  ,  c  ,  impala  ,  mapreduce  ,  hdfs",Posted 4 days ago
42,Sumo Digital Ltd,2 - 10 yrs,,"hive  ,  games  ,  big data  ,  python  ,  machine learning  ,  ruby  ,  pathway",Posted 5 days ago
43,PAGO Analytics,2 - 5 yrs,Hyderabad/Secunderabad,"image processing  ,  algorithms  ,  python  ,  c    ,  c  ,  data mining  ,  team player  ,  machine learning  ,  logical thinking  ,  infrastructure  ,  system architecture",Posted 1 day ago
44,PAGO Analytics,2 - 5 yrs,Hyderabad/Secunderabad,"image processing  ,  algorithms  ,  python  ,  c    ,  c  ,  data mining  ,  team player  ,  machine learning  ,  logical thinking  ,  infrastructure  ,  system architecture",Posted 2 days ago
45,PAGO Analytics,2 - 5 yrs,Hyderabad/Secunderabad,"image processing  ,  algorithms  ,  python  ,  c    ,  c  ,  data mining  ,  team player  ,  machine learning  ,  logical thinking  ,  infrastructure  ,  system architecture",Posted 3 days ago
46,PAGO Analytics,2 - 5 yrs,Hyderabad/Secunderabad,"image processing  ,  algorithms  ,  python  ,  c    ,  c  ,  data mining  ,  team player  ,  machine learning  ,  logical thinking  ,  infrastructure  ,  system architecture",Posted 4 days ago
47,string bio pvt. ltd,2 - 5 yrs,Bengaluru / Bangalore,"algorithms  ,  c    ,  data mining  ,  sql  ,  python",Posted few days ago
48,NLP People,2 - 5 yrs,Gurgaon,"algorithms  ,  artificial intelligence  ,  hadoop  ,  big data  ,  python  ,  information retrieval  ,  machine learning",Posted few days ago
49,BrainToSoul Consulting,5 - 8 yrs,Bengaluru / Bangalore,"hive  ,  data mining  ,  sql  ,  nosql  ,  mongodb",Posted few days ago
50,TandA HR Solutions,1 - 4 yrs,Gurgaon,"hive  ,  algorithms  ,  data mining  ,  pig  ,  data structures  ,  hadoop  ,  big data  ,  python  ,  sas  ,  oozie  ,  machine learning",Posted few days ago
51,Cellworks,0 - 3 yrs,,"algorithms  ,  python  ,  data mining  ,  machine learning  ,  nosql  ,  d3.js  ,  java  ,  data structures  ,  mysql",Posted few days ago
52,LogicPlum Private Limited,4 - 7 yrs,,"artificial intelligence  ,  sql  ,  database  ,  data structures  ,  technical skills  ,  python  ,  machine learning",Posted few days ago
53,LogicPlum Private Limited,4 - 7 yrs,,"artificial intelligence  ,  sql  ,  database  ,  data structures  ,  technical skills  ,  python  ,  machine learning",Posted few days ago
54,LogicPlum Private Limited,4 - 7 yrs,,"artificial intelligence  ,  sql  ,  database  ,  data structures  ,  technical skills  ,  python  ,  machine learning",Posted few days ago
55,LogicPlum Private Limited,4 - 7 yrs,Canada,"artificial intelligence  ,  sql  ,  database  ,  data structures  ,  technical skills  ,  python  ,  machine learning",Posted few days ago
56,LogicPlum Private Limited,4 - 7 yrs,France,"artificial intelligence  ,  sql  ,  database  ,  data structures  ,  technical skills  ,  python  ,  machine learning",Posted few days ago
57,LogicPlum Private Limited,4 - 7 yrs,,"artificial intelligence  ,  sql  ,  database  ,  data structures  ,  technical skills  ,  python  ,  machine learning",Posted few days ago
58,LogicPlum Private Limited,4 - 7 yrs,,"artificial intelligence  ,  sql  ,  database  ,  data structures  ,  technical skills  ,  python  ,  machine learning",Posted few days ago
59,TandA HR Solutions,3 - 5 yrs,Panchkula,"algorithms  ,  docker  ,  sql  ,  productionenvironment  ,  natural languageprocessing  ,  data structures  ,  hadoop  ,  python  ,  information retrieval  ,  problem solving  ,  machine learning",Posted few days ago
